Job_Title,Company,City,Salary,Description,Experience,Education,Skills,min_salary,max_salary,min_exp,max_exp
not mentioned,not mentioned,"['hybrid - noida', ' gurugram', ' bengaluru']",not disclosed,we are looking for data scientist and having hands on experience with model development...,3-5 yrs,"education
ug: any graduate","['ml', 'ds']",10.0,15.5,3.0,5.0
not mentioned,uplers,['remote'],35-60 lacs pa,"data scientist experience: 5+ yearssalary : upto usd 74, 400 / yearexpected notice peri...",5-7 yrs,"education
ug: any graduate","['data science', 'predictive modeling', 'r', 'scala', 'natural language processing', 'python', 'sql']",35.0,60.0,5.0,7.0
not mentioned,rarr technologies,['faridabad'],not disclosed,should have experience in working in a fast-paced team culture should be a data-oriente...,10-16 yrs,"education
ug: any graduate
pg: any postgraduate","['c++', 'data science', 'analytical', 'machine learning', 'cloud', 'microsoft', 'business intelligence', 'forecasting', 'sql', 'python']",10.0,15.5,10.0,16.0
not mentioned,precisely,['noida'],not disclosed,   precisely is the leader in data integrity. we empower businesses to make more confid...,1-3 yrs,"education
ug: any graduate
pg: any postgraduate","['text mining', 'analytical', 'artificial intelligence', 'machine learning', 'data integrity', 'open source', 'data mining', 'sql', 'python']",10.0,15.5,1.0,3.0
not mentioned,kion india,['pune'],not disclosed,"bachelor s or master s degree in data science, computer science, engineering, or a rela...",2-4 yrs,"education
ug: any graduate
pg: any postgraduate","['process optimization', 'machine learning', 'data collection', 'data processing', 'data integrity', 'manager quality control', 'analytics', 'sql', 'python']",10.0,15.5,2.0,4.0
not mentioned,quantium analytics,['hyderabad'],not disclosed,"your contributions resonate, regardless of your role or rank. on top of the quantium ex...",4-8 yrs,"education
ug: any graduate
pg: any postgraduate","['health insurance', 'operations manager', 'coding', 'analytical', 'consulting', 'data processing', 'actuarial', 'analytics', 'product support', 'sql']",10.0,15.5,4.0,8.0
not mentioned,ciklum,['hybrid - chennai'],not disclosed,ciklum is looking for a expert data scientist to join our team full-time in india.we ar...,6-10 yrs,"education
ug: bca in computers, b.sc in computers, b.tech/b.e. in computers
pg: mca in computers, ms/m.sc(science) in computers, m.tech in computers",['tableau'],10.0,15.5,6.0,10.0
not mentioned,ltimindtree,['hybrid - kolkata'],not disclosed,"- more than 5 years of experience in data engineering, data science and ai / ml domain....",6-11 yrs,"education
ug: any graduate","['predictive modeling', 'natural language processing', 'machine learning', 'deep learning']",10.0,15.5,6.0,11.0
not mentioned,xorosoft technologies,['mohali'],not disclosed,"education: . bachelors or masters degree in data science, computer science, or related ...",4-6 yrs,"education
ug: b.tech/b.e. in any specialization, any graduate","['hadoop', 'spark', 'data modeling', 'machine learning', 'sql']",10.0,15.5,4.0,6.0
not mentioned,anantara solutions,['remote'],not disclosed,we are seeking a skilled and experienced data scientist with a minimum of 3 years of ex...,3-8 yrs,"education
ug: any graduate",['not mentioned'],10.0,15.5,3.0,8.0
not mentioned,globant,"['hybrid - hyderabad', ' pune']",not disclosed, we are hiring strategic data scientists to join our data & ai studio. our expertise al...,5-10 yrs,not mentioned,['not mentioned'],10.0,15.5,5.0,10.0
not mentioned,popcornapps,['hyderabad'],not disclosed,"work-life balance accellor prioritizes work-life balance, which is why we offer flexibl...",3-6 yrs,"education
ug: any graduate
pg: any postgraduate","['telecom', 'development manager', 'consulting', 'machine learning', 'healthcare', 'data quality', 'data mining', 'sql', 'python', 'customer interaction']",10.0,15.5,3.0,6.0
not mentioned,amnet digital,['hybrid - hyderabad'],not disclosed,the ideal candidate will possess a strong foundation in the fundamentals and concepts o...,4-7 yrs,"education
ug: any graduate","['natural language processing', 'machine learning', 'deep learning']",10.0,15.5,4.0,7.0
not mentioned,tanla platforms,['hyderabad'],not disclosed, location:- hyderabadmode of work :- work from office (wfo)job description:- youll be r...,3-8 yrs,"education
ug: b.tech/b.e. in any specialization","['tensorflow', 'sklearn', 'r', 'pytorch', 'pandas', 'keras', 'numpy', 'ml']",10.0,15.5,3.0,8.0
not mentioned,anarock property consultants,['mumbai (all areas)'],9-12 lacs pa,role & responsibilities  the person will be a key member of the aiml business teamthe c...,4-9 yrs,"education
ug: any graduate","['data science', 'business consulting', 'aiml', 'reporting', 'monitoring']",9.0,12.0,4.0,9.0
