Job_Title,Company,City,Salary,Description,Experience,Education,Skills,min_salary,max_salary,min_exp,max_exp
not mentioned,not mentioned,['delhi'],not disclosed,"must have good interpersonal skills. . ug : btech/ be - computers, electrical, electron...",1-5 yrs,"education
ug: b.tech/b.e. in computers
pg: post graduation not required","['computer vision', 'c++', 'development', 'image processing', 'technical', 'telecommunication', 'developing', 'linux', 'analytical', 'mysql', 'machine learning', 'design', 'natural language processing', 'agile', 'python']",17.5,27.5,1.0,5.0
not mentioned,ringcentral,['bengaluru'],not disclosed,we are seeking an experienced ml engineer with a minimum of 3 years of experience in sp...,3-5 yrs,"education
ug: any graduate
pg: any postgraduate","['computer science', 'asr', 'deep learning', 'architecture', 'analytical', 'machine learning', 'model development', 'deployment', 'monitoring', 'python']",17.5,27.5,3.0,5.0
not mentioned,zeta global,['bengaluru'],not disclosed,zeta global is looking for an experienced machine learning engineer with industry-prove...,2-4 yrs,"education
ug: any graduate
pg: any postgraduate","['san', 'marketing programs', 'campaign management', 'machine learning', 'manager technology', 'html', 'research', 'digital marketing', 'management reporting', 'python']",17.5,27.5,2.0,4.0
not mentioned,aryavart institute of technology,"['noida', ' patna', ' kanpur', ' supaul']",not disclosed," as a machine learning trainer, you will be at the forefront of educating and upskillin...",2-4 yrs,"education
ug: any graduate
pg: any postgraduate","['cloud computing', 'artificial intelligence', 'curriculum development', 'machine learning', 'schema', 'http', 'internship', 'python']",17.5,27.5,2.0,4.0
not mentioned,siemens healthcare,['bengaluru'],not disclosed,"location: bangalore, india . organization: center for innovation in diagnostics, bangal...",1-2 yrs,"education
ug: any graduate
pg: any postgraduate","['c++', 'medical imaging', 'diagnostics', 'machine learning', 'healthcare', 'research', 'matlab', 'operations', 'information technology', 'python']",17.5,27.5,1.0,2.0
not mentioned,bastian solutions,['bengaluru'],not disclosed,"bachelor / masters degree in computer science, or engineering . 10+ years of experience...",4-8 yrs,"education
ug: any graduate
pg: any postgraduate","['bayesian', 'algorithms', 'server', 'python', 'c++', 'modeling', 'ai solutions', 'mathematics', 'neural networks', 'robotics', 'machine learning', '3d', 'tensorflow', '2d', 'automation', 'design patterns', 'computer vision', 'pytorch', 'keras', 'geometry', 'software engineering', 'pattern recognition']",17.5,27.5,4.0,8.0
not mentioned,calfus technologies india,"['pune', ' bengaluru']",not disclosed,"the ideal candidate will be a quick learner, well-versed in the latest ai / ml and data...",3-7 yrs,"education
ug: any graduate
pg: any postgraduate","['data analysis', 'analytical', 'machine learning', 'data collection', 'data processing', 'data quality', 'natural language processing', 'regression analysis', 'python']",17.5,27.5,3.0,7.0
not mentioned,not mentioned,"['new delhi', ' pune', ' gurugram']",20-35 lacs pa,"role: machine learning engineer experience- 4 to 6 yearslocation- pune, delhi ncrskills...",4-6 yrs,"education
ug: any graduate",['deep learning'],20.0,35.0,4.0,6.0
not mentioned,nurdsoft,['remote'],not disclosed,"experience with large-scale datasets, supporting dozens of millions of users . ability ...",2-5 yrs,"education
ug: any graduate
pg: any postgraduate","['python', 'c++', 'modeling', 'software development', 'c', 'natural language processing', 'scala', 'neural networks', 'machine learning', 'artificial intelligence', 'sql', 'deep learning', 'tensorflow', 'java', 'data science', 'spark', 'writing', 'computer vision', 'pytorch', 'statistical modeling', 'keras', 'ml']",17.5,27.5,2.0,5.0
not mentioned,not mentioned,['chennai'],not disclosed,. what do you need to bring- . - bachelors with 4+ years of experience or masters with ...,4-7 yrs,"education
ug: any graduate
pg: any postgraduate","['data analysis', 'data science', 'artificial intelligence', 'billing', 'machine learning', 'vulnerability', 'information technology', 'analytics', 'financial services', 'sql']",17.5,27.5,4.0,7.0
